"","Region","Month","Year","Rainfall","Soil_Moisture","ET_Anomaly","ET","Temp"
"167","Saskatchewan",5,2001,1.00328373600193,0.200294445141748,NA,NA,20.9722466401379
"168","Yukon",5,2001,0.191605512565883,0.399745273923011,NA,NA,2.353608604128
"169","Alberta",6,2001,2.17515147820597,0.228834386342211,NA,NA,21.6224481950702
"170","British Columbia",6,2001,1.25279408315044,0.314020440855202,NA,NA,13.3398308692772
"171","Canada",6,2001,1.90005481143438,0.295475693295492,NA,NA,13.131834835612
"172","Manitoba",6,2001,2.76939500363989,0.257397805670078,NA,NA,22.6816651517138
"173","New Brunswick",6,2001,3.34453336317103,0.288010126267761,NA,NA,20.3410679724818
"174","Newfoundland and Labrador",6,2001,1.99327977281177,0.25642752249859,NA,NA,16.2389834431967
"175","Northwest Territories",6,2001,0.926283881155537,0.240154232007953,NA,NA,13.7209646789858
"176","Nova Scotia",6,2001,3.13641151805062,0.286364178702606,NA,NA,18.9388063541
"177","Nunavut",6,2001,0.526108377351528,0.392750343169576,NA,NA,1.784318362875
"178","Ontario",6,2001,3.53601575826986,0.264546067344419,NA,NA,21.93640323989
"179","Prince Edward Island",6,2001,5.42885301374801,0.283816988390165,NA,NA,20.4709228099667
"180","Québec",6,2001,2.51095796763784,0.240433698135413,NA,NA,18.696429645782
"181","Saskatchewan",6,2001,2.47610842387525,0.199427652363197,NA,NA,23.6892058798857
"182","Yukon",6,2001,1.21352945218593,0.292619801271469,NA,NA,15.3190687135607
"183","Alberta",7,2001,3.49134247901262,0.21946874363105,NA,NA,24.8221622241123
"184","British Columbia",7,2001,1.17232385485498,0.287200939270448,NA,NA,17.7472742650594
"185","Canada",7,2001,2.20866490088603,0.274062464199709,NA,NA,19.5899522909663
"186","Manitoba",7,2001,2.86253366870651,0.244191020556649,NA,NA,23.604314738839
"187","New Brunswick",7,2001,2.70036503100059,0.276665073024052,NA,NA,21.980137341588
"188","Newfoundland and Labrador",7,2001,3.18912639148078,0.249412879894422,NA,NA,20.3886693668052
"189","Northwest Territories",7,2001,2.31465302075427,0.231609799094709,NA,NA,18.6947010632985
"190","Nova Scotia",7,2001,2.95278254638204,0.261949895855129,NA,NA,22.3218940078696
"191","Nunavut",7,2001,1.51355272830565,0.350894729224131,NA,NA,15.1341180542394
"192","Ontario",7,2001,2.53844491839307,0.250774014255287,NA,NA,23.5122468967222
"193","Prince Edward Island",7,2001,2.56475247462193,0.243556732923132,NA,NA,23.92792319175
"194","Québec",7,2001,2.60037493676453,0.234220301060993,NA,NA,21.446101409862
"195","Saskatchewan",7,2001,3.2710858560126,0.196541297963947,NA,NA,26.1430733089716
"196","Yukon",7,2001,1.45386316358816,0.260099745246828,NA,NA,16.7930239526704
"197","Alberta",8,2001,1.86039499987755,0.191296541389656,NA,NA,25.1318617676816
"198","British Columbia",8,2001,1.58512974656651,0.274214242704999,NA,NA,18.3022521778249
