"Region","month","year","Value"
"Canada",5,2001,0.323031557509995
"Manitoba",5,2001,0.268459719502975
"New Brunswick",5,2001,0.277331347365212
"Newfoundland and Labrador",5,2001,0.343349663506992
"Northwest Territories",5,2001,0.316635932674667
"Nova Scotia",5,2001,0.293633545368192
"Nunavut",5,2001,0.389123669765778
"Ontario",5,2001,0.243721772049024
"Prince Edward Island",5,2001,0.295084817200003
"Québec",5,2001,0.294074621998483
"Saskatchewan",5,2001,0.200294445141748
"Yukon",5,2001,0.399745273923011
"Alberta",6,2001,0.228834386342211
"British Columbia",6,2001,0.314020440855202
"Canada",6,2001,0.295475693295492
"Manitoba",6,2001,0.257397805670078
"New Brunswick",6,2001,0.288010126267761
"Newfoundland and Labrador",6,2001,0.25642752249859
"Northwest Territories",6,2001,0.240154232007953
"Nova Scotia",6,2001,0.286364178702606
"Nunavut",6,2001,0.392750343169576
"Ontario",6,2001,0.264546067344419
"Prince Edward Island",6,2001,0.283816988390165
"Québec",6,2001,0.240433698135413
"Saskatchewan",6,2001,0.199427652363197
"Yukon",6,2001,0.292619801271469
"Alberta",7,2001,0.21946874363105
"British Columbia",7,2001,0.287200939270448
"Canada",7,2001,0.274062464199709
"Manitoba",7,2001,0.244191020556649
"New Brunswick",7,2001,0.276665073024052
"Newfoundland and Labrador",7,2001,0.249412879894422
"Northwest Territories",7,2001,0.231609799094709
"Nova Scotia",7,2001,0.261949895855129
"Nunavut",7,2001,0.350894729224131
"Ontario",7,2001,0.250774014255287
"Prince Edward Island",7,2001,0.243556732923132
"Québec",7,2001,0.234220301060993
"Saskatchewan",7,2001,0.196541297963947
"Yukon",7,2001,0.260099745246828
"Alberta",8,2001,0.191296541389656
"British Columbia",8,2001,0.274214242704999
"Canada",8,2001,0.26561077340544
"Manitoba",8,2001,0.232738811848234
"New Brunswick",8,2001,0.245126229995822
"Newfoundland and Labrador",8,2001,0.240400112222912
"Northwest Territories",8,2001,0.23802501424899
"Nova Scotia",8,2001,0.23607803700787
"Nunavut",8,2001,0.337062144341914
"Ontario",8,2001,0.251764414229484
"Prince Edward Island",8,2001,0.185028867479027
"Québec",8,2001,0.23514171227743
"Saskatchewan",8,2001,0.170754289792777
"Yukon",8,2001,0.255732683180507
"Alberta",9,2001,0.19083112186479
"British Columbia",9,2001,0.277054755601242
"Canada",9,2001,0.275852419759363
"Manitoba",9,2001,0.243501029455389
"New Brunswick",9,2001,0.236672173041535
"Newfoundland and Labrador",9,2001,0.26489499866912
"Northwest Territories",9,2001,0.240878478733945
"Nova Scotia",9,2001,0.229403387303059
"Nunavut",9,2001,0.338521074750701
"Ontario",9,2001,0.269846186215311
"Prince Edward Island",9,2001,0.187343162392219
"Québec",9,2001,0.268316747800742
"Saskatchewan",9,2001,0.191875383101433
"Yukon",9,2001,0.277000842260725
"Alberta",10,2001,0.19521440706249
"British Columbia",10,2001,0.323610494550283
"Canada",10,2001,0.289335325236057
"Manitoba",10,2001,0.246420551794336
"New Brunswick",10,2001,0.261440671812717
"Newfoundland and Labrador",10,2001,0.276363098960446
"Northwest Territories",10,2001,0.255448713180649
"Nova Scotia",10,2001,0.246237425231268
"Nunavut",10,2001,0.353127756563455
"Ontario",10,2001,0.278331525796585
"Prince Edward Island",10,2001,0.217011239748529
"Québec",10,2001,0.269723650613461
"Saskatchewan",10,2001,0.189941350523216
"Yukon",10,2001,0.301730849754005
"Alberta",11,2001,0.232780189896771
"British Columbia",11,2001,0.368600586118708
"Canada",11,2001,0.308052701951051
"Manitoba",11,2001,0.281142001345634
"New Brunswick",11,2001,0.283028497801751
"Newfoundland and Labrador",11,2001,0.31718438042561
"Northwest Territories",11,2001,0.255416825245543
"Nova Scotia",11,2001,0.275639685528828
"Nunavut",11,2001,0.353616688097417
"Ontario",11,2001,0.328347293002687
"Prince Edward Island",11,2001,0.254457928911522
"Québec",11,2001,0.301154361160914
"Saskatchewan",11,2001,0.212417665439751
"Yukon",11,2001,0.307513844359751
"Alberta",12,2001,0.253063066616679
"British Columbia",12,2001,0.388339867215821
"Canada",12,2001,0.32196365415726
"Manitoba",12,2001,0.289392784522208
"New Brunswick",12,2001,0.317473977075512
"Newfoundland and Labrador",12,2001,0.378380190954386
"Northwest Territories",12,2001,0.255344003517462
"Nova Scotia",12,2001,0.306950099977191
"Nunavut",12,2001,0.352226955549278
"Ontario",12,2001,0.375573586991963
"Prince Edward Island",12,2001,0.278948777811809
"Québec",12,2001,0.336306273680765
"Saskatchewan",12,2001,0.225916400036048
"Yukon",12,2001,0.308891313643724
"Alberta",1,2002,0.292714745596101
"British Columbia",1,2002,0.411277999785579
"Canada",1,2002,0.333347144685572
